black blackness blacken	white
spousal nuptial bridal	
rhino rhinoceros	
ironic wry dry	wet sweet
pulsing pulse impulse throb	
barrage battery bombardment shelling	
perverse subvert perverted pervert depraved corrupt	
decimate annihilate eliminate extinguish	
dip deteriorate dismiss neglect drop flatten degenerate discharge miss fall dribble pearl throw unload cast spend cliff drip expend overlook	recuperate sharpen
confuse confusing fox confound jumble flurry perplexing puzzling	
prefer favor favour favored choose opt preferred favourite	
steeple spire	
knock criticise criticize	praise
medicate medicine	
ostensibly seemingly apparently	
exemption freedom	
being organism	
stick junction roast articulate juncture joint join	separate
oblige hold reconcile lodge admit fit accommodate adapt	
cart pull tangle haul puff drag draw hale trail	
bargain buy slip steal	
pick option selection alternative	
sizing size	
buy bribe bargain purchase corrupt	sell
intern houseman	
mariner seaman pitch tar	
shared part divided divide fraction split	unite multiply united
abstract scheme outline sketch draft	
erupt flaring flare flame	
cripple lame	
recoil boot kicking complain kick	cheer
conference league	
xl forty	
finish culture polish refinement	
obscenity filth smut	
axe ax bloc axis	
feigned assume pretend affect feign sham	
barbed thorny prickly spiny	
narrator teller storyteller	
unlawful outlaw illicit outlawed unconventional improper	lawful
lead runway cross dog course chase rail running cut tail tag trail traverse	
imagery imagination imaging	
falsely incorrectly	
shaving sliver splinter	
clink jailhouse pokey jail	
concession allow grant award assignment concede accord give	deny
rival match equal touch equate peer	differ
thrust pierce	
open unfold blossom extend stretch	fold
dame chick lady dam doll skirt bird	
apparition spook phantom shade specter wraith	
contest competition contend	
counter anticipate foresee	
wrong damage	right
penetrate cluck flick tick chatter dawn snap	
program send air programme disperse broadcast transmit diffuse circulate beam	
retribution vengeance payback	
politeness subtlety niceness	nastiness
cop abstract snitch cabbage pluck sneak rob draw pinch swipe addict solicit lift hooking snare	unhook
raspberry boo snort snicker bird hiss	
grasp delve lodgings jab excavation digs shot slam digging toil stab fag excavate shaft prod compass labor apprehend savvy comprehend	
crude primitive rude natural	civil
nourishment nutrition sustenance	
centralized concentrate	
aeroplane plane airplane	
tongue clapper	
attain make realise acquire profit realize advance derive win benefit hit gain	reduce lose
feverish hectic	
minimal minimum	maximum
matte mat mater flat	
flower charge flush even thrill prime blossom sluice level kick rush purge outpouring crimson scour bang	
bastion citadel	
crop browse range crease pasture grazing	
threatening morose moody lowering glum dark heavy sullen	
b barn	
fly vaporized zap vaporize evaporate	
minuscule little fiddling short trivial slight	tall much large
ear spike	
deary darling favourite pet dearie favorite	
surprise storm	
triad trine leash trey threesome trio	
twitch twitching tweet nip pinch jerk twinge	
divination prophecy	
fertiliser fertilizer	
copy repeat replicate double	
smartly vigorously	
fudge dodge hedge evade duck elude skirt	
chime gong bell	
benny sesame	
password parole word	
limitation limit set confine fix restrict bound boundary throttle specify	
linger lounge lurk loaf hover tarry	rush
statistics statistic	
ration rationing	
deal fear like aid tending charge guardianship attention maintenance handle precaution caution tutelage upkeep	
snort huff	
specter shadow apparition phantom	
helpless doomed misplace preoccupied suffer lost confounded baffled confused bewildered recede	profit won found find win gain
entrap frame trap snare	
poise chill cool	heat warm
dishonour shame dishonor assume disgrace pretend affect feign	honor
boiler kettle	
limb branch arm	
harmonium organ	
poop nincompoop ninny	
leave confide trust entrust	
boastful bragging crowing swelled prominent larger handsome grownup big bountiful large braggart liberal expectant adult heavy	little small
tight besotted remains sloshed firm unwavering plastered strong smashed rigid clay unshakable cockeyed soaked pissed potent steady	impotent
spout rant ranting rave blah jabber	
lithium li	
pilot voyage sail navigate	
sanctity holiness	
cancel scouring scrubbing scrubs scrub scour scratch	
helicopter pearly chop cleaver	
transmitter vector	
memorize con learn memorise	
advertisement advertising advert ad	
blurt boner sin goof bloomer ejaculate blunder fumble	
yon yonder	
absent off remove dispatch withdraw take hit slay	
slip stumble trigger activate misstep travel spark	
counter sideboard buffet	
counter envision anticipate foresee	
anchorman keystone linchpin anchor ground	
batting secure batten	
tailor sew stitched sewed sewn	
gruff crusty	
tailspin spin	
orchard plantation grove	
brake bracken	
pretty jolly moderately somewhat reasonably	
cereal grain texture	
cell cubicle cellphone cadre	
readiness zeal eagerness	
brow forehead	
physical forcible	mental
blessing consecrate sign approving boon bless sanctify thanksgiving	desecrate disapproval curse
channel transport transmit carry conduct impart	
discriminate part break divide sort tell differentiate classify split branch separate	unite
intervene interfere	
filth soil smut grime crud obscenity dirt grunge nastiness	
bobble blow bumble spoil muff bollocks fluff fumble	
make establish building progress edifice construction	
pitch flick somerset riff sky interchange twitch tack alternate leaf switch flip pass	
lecture jaw scold talk lecturing rag chide berate	
neutralise waste liquidate negate	
mentality mindset outlook	
straight heterosexual	homosexual
overseas afield abroad	
recuperate recoup recover	deteriorate
atrocious grievous grotesque monstrous	
chip microchip	
beginner novice initiate	
microbe bug germ	
see live know receive feel experienced experience	inexperienced
run ravel unravel untangle	ravel knot
alone unparalleled unique	
insane mad	sane
see insured ascertain secure guarantee control check insure	
please delight plea	displease
take cinematography film filming	
picnic snap cinch breeze pushover	
devil demon ogre fiend	
blinker flasher exhibitionist	
leukemia leukaemia	
vat tub	
make pee puddle wee urinate	
groping fumble grope	
hunk swelling glob lump gawk chunk lout oaf ball	
industry fabricate manufacturing invent manufacture construct	
das pika rabbit coney	
analyze canvas study canvass analyzed analyse	synthesize
fudge dodge hedge evade duck elude skirt	
prime establish found base foundation strand anchor	
evacuate empty void	
preparedness cooking cookery grooming prep planning preparation training	resolution
grouped sorted group	
figure enter insert embark participate enroll record	exit
target aim objective object	
hit collision	
morbid diseased pathological	
trap bunker dugout	
bottom rump stern bun fanny tush ass posterior keister backside butt behind buttocks buns prat seat	
gazillion zillion million trillion	
bed know screw jockey fucking fuck hump bonk cheat love bang shaft screwing	unscrew
hatch concoct	
arouse make energize stimulate aroused stimulated stirred rush cause hasten provoke shake have	stifle sedate
tolerant kind genial	unkind
extra duplicate	
cleverness ingenuity	
sliver splinter	
kitty kitten	
mix incorporate integrate	disintegrate differentiate
ley lea pasture	
corned cured corn	
declared express state tell stated submit	
anyplace anywhere	
deal embrace extend breed shroud overlay handle treat continue covered comprehend brood cross report hide plow track	bare uncover
put regulate guild prescribe arrange ordering society decree lodge tell club place rank consecrate rate range edict	disorder
unfreeze meld melted run disappear evaporate liquid dissolve fade	
mundane terrestrial planetary	amphibious
overtake submerge overwhelm drown overcome deluge	
normalcy normality	abnormality
hire enlist lease engaged engage charter prosecute booked wage pursue take lock operate employ rent	fire disengage
icky lousy stinky crappy stinking shitty	
stare gaze	
burly husky beefy strapping	
look depend calculate bet count	
mountain raft heaps rafts deal lots pot peck tons plenty sight oodles lot flock gobs wads mint stack loads slew wad batch	
watchman watcher	
mayo mayonnaise	
title gentle	
vocalist singer	
ineffective ineffectual futile unable	effective
spineless gutless	
berth spot office billet part power bureau position authority post agency	
envision see figure visualize picture plan visualise projection design fancy throw undertaking cast labor	
thoughtful attentive	
negative veto	affirmative
beg woo tap court romance solicit	
calmness composure steady quiet still tranquil quieten serene	stimulate stormy agitate
headache concern worry	
leap bound jump leaping spring	
make pee puddle wee pool urinate	
ml mil cc	
look await expect anticipated wait	
telly television tv video	
abstract sneaker stealthy snitch canary mouse cabbage sneak slip stalker prowler pinch swipe fink	
bed know screw fucking fuck hump bonk love bang screwing jazz	
anyhow anyway anyways	
barbecue barbeque	
belittle diminish fall decrease	increase
fiddle violin	
