black blackness blacken	white
insight penetration brainwave brainstorm	
send station carry brand post place stake mail posted	
pout stew sulk loom hover hatch cover dwell brood	
modesty reserve	
confuse disconcerting upset upsetting flurry	
hardheaded pragmatic practical	
meow mews mew	
tolerant kind liberal resistant broad	intolerant
garter sponsor helper jockstrap help jock friend admirer assistant supporter patron booster champion protagonist	
casket coffin	
bed level layer	
bout bust tear binge turn round	
survival endurance	
force pull pluck tear draw extract commit attract pulling rip	push repel
squeaking squeaky squealing	
hotdog wiener dog frank weenie	
cradle rocker birthplace provenance	
secure punch plug	
release plough ferment reverse sprain become grow twist flex turning work plow rick bend sour turn wrench	
screamer yeller	
applesauce trash scrap tripe rubbish	
credo creed gospel	
aim engineer mastermind steer conduct guide place send directive maneuver directing point guiding target head manoeuvre direct lead calculate take orchestrate directional address organize train organise	
hurrah hooray	
spur gad	
salute greeting salutation	
vagabond drifter floater vagrant	
exude ooze	
province express state country tell commonwealth land nation submit say	
vibe vibration	
agenda schedule docket	
foetus fetus	
reverse setback reversal blow	
flustered rattled distract disorder perturbed trouble	
piggy piglet	
headlong precipitate hasty	
encampment bivouac campsite camp tent campground	
awaken wake agitate waken charge arouse excite rouse	calm
convenience restroom	
unarmed disarm	armed
lyric lyrical words language	dramatic
inspector examiner tester	
hook drape pluck robe cloak vest gown soak plume clothe rob fleece	
channel duct canal	
autopsy postmortem	
thousand yard gee gm thou g gram grand	
gorge esophagus gullet	
apathy numbness indifference	
salute booze toast pledge drink	
deteriorate dismiss neglect falling drop flatten degenerate discharge miss dribble sink throw unload cast spend drip expend shed dangle swing fell dropping overlook omit	recuperate sharpen
suite entourage rooms	
scarlet cherry ruddy red ruby crimson cardinal reddish carmine	
lasagne lasagna	
crisp short curt	
serpent snake	
boastful grownup grown giving big expectant bountiful bragging crowing swelled prominent liberal large adult heavy braggart handsome magnanimous great bad	little small
sentence doom condemn	
quest request requested	
assuage facilitate relieve ease alleviate	
crone hag witch	
cancel scrub delete offset scratch	
joke muzzle fret gag laugh jest suffocate heave choke strangle	
identify name key place describe discover distinguish	
decompose disintegrate decay	integrate
manger trough	
poof fagot pansy faggot fag queen fairy queer nance	
caboodle cluster bundle gang lot crowd bunch crew clump	
circle leash roach lasso rope	
respond react oppose	
obit obituary	
set localized place	
burial burying	
bright brightly brilliantly	
handled deal handle treat cover manage plow wield palm address care	
alien outsider foreigner	citizen
club order lodge guild society	
marinate marinade	
barrel cask drum	
discovery uncovering find breakthrough	
moan groan	
see ascertain learn find control check insure ensure assure determine watch	
operative shamus pi sherlock	
outset kickoff low start commencement offset beginning first showtime	middle
woodland wood timber forest woods	
promptly readily quickly quick pronto	
deflect avoid avert	
resume restart	
retrieve regain find recover	lose
unfounded unwarranted groundless baseless wild idle	
reflex automatic	
terrace bench judiciary	
trespasser intruder	
flunky butt goat laughingstock stooge	
unbalanced upset demented agitate distressed vex sick touch disturbed disturb crazy trouble unhinged interrupt mad worried	
excellency excellence	
fall precipitate hasty	
cut hack whoop chop	
sorcerer illusionist magician wizard necromancer	
unbuttoned unbutton	buttoned button
dash dah	
see overhear hitch enchant overtake arrest fascinate view trance capture grab watch entrance get catch charm	
away prohibited stunned forbidden taboo out extinct	safe
shred shredded sliced chopped	
fauna tool puppet beast animal wight creature brute	
informant source witness	
erode gnaw	
boss honcho chief foreman gaffer	
gloss coloring color colour tinge colouring distort	
melancholy melancholic sombre somber	
aluminium aluminum	
clutch grasp brooch hold buckle clasp grip clutches clench	
daylight daytime day	night
screeching screaming scream shriek screech pipe shrieking shrill	
rival match equal touch equate peer be adequate	unequal inadequate differ
jealous envious	
frustrate cross thwart torment scotch crucify foil rag spoil queer dun	
barman bartender barkeep	
silver fluent eloquent	
treble soprano	
adoptive acquire adopt borrow embrace assume take adopted follow	native
casket coffin	
title deed style championship claim	
flux fall course flow run feed hang	
sacrilegious blasphemous profane	
alert alarm	
begin commence get start	end
maybe possibly perchance perhaps	impossibly
remarkably unusually	
mailing send card bill stake station posting carry brand post notice poster placard place mail	
fire fuel	
receive mother aim generate puzzle incur come start become find suffer cause develop father arrive get sustain sire beget vex fetch draw convey induce catch make stick beat acquire begin commence fix obtain grow scram pose amaze bring stimulate produce arrest gravel let go take experience capture drive have contract	leave end
maker manufacturer	
bullock steer	
meow mew	
disk torturing torturous agonizing harrow excruciating harrowing	
dwell lie rest consist	arise stand
revolution rotation	
relieve however silent nonetheless even distillery ease static smooth quieten inactive yet motionless placid quiet nevertheless calm tranquil stillness silence hush still notwithstanding lull	sparkling moving agitate
plan planning preparation design provision project	
bambino toddler tot	
prefer favor privilege favour	
regulate work tempt influence shape determine mold charm	
purge sanctify purify	
twinkle swank dash scoot shoot winkle blink flash flaunt wink dart	
doughnut halo ring aura glory nimbus	
gala romp jamboree runaway blowout	
dash flair style panache	
fierce boisterous approximate harsh roughly bumpy scratchy rocky rough uncut crude jumpy raspy grating	cut smooth
loudly forte specialty loud speciality strength	piano
saddle burden charge	
lead bullock maneuver guide tip steer hint wind point head direct manoeuvre	
spot blip whip worst hit shoot pip	
mousy mousey	
counter incompatible antagonistic	
crooked subvert tainted pervert buy sully bribe cloud spoil corrupt defile corrupted profane taint	straight
radio wireless tuner	
stargazer astronomer	
wide fuller good broad entire total full	empty thin
bring bestow sum add contribute lend tot impart total supply tally	subtract
whisper lift rustling whispering rustle	
vane web blade	
fresh idle unused	
light enlighten clear illuminate	
entrenched trench	
dominant prevailing prevalent rife	subordinate
unbalanced demented sick distract disorder crazy trouble unhinged disturbed mad	
loot lolly swag sugar shekels clams plunder bread cabbage moolah dinero lettuce rifle dough foray booty prize scratch kale strip pillage ransack	
scavenger magpie	
vas vessel vase	
debut entry introduction entree entering launching submission unveiling entrance incoming	
slaver drool dribble drivel slobber	
spectacular big outstanding prominent large salient striking	
publication issue publishing	
priority precedence	
irrigate watered water	
handed pass reach hand give	
plant implant	
fat productive plentiful racy deep ample copious rich robust fertile	lean poor
part percentage portion percent share	
smarmy oily buttery larder pantry soapy	
earthquake quake	
die perish go expire croak deceased departed conk gone pass asleep choke exit	
tempo step pace pacing	
sweetheart smasher stunner dish lulu knockout beaut looker peach beauty	ugliness
absorption density immersion tightness concentration	distribution
entrance entry entering incoming	outgoing
exhausting bear eroding erosion wear break don endure fag bust assume jade tiring wearing fatigue tire weary	refresh
person somebody someone individual mortal soul	
chitchat jaw chatter visit gossip chat	
turn work ferment sour	
tight awful filthy foul nasty	nice
prep preparation homework	
cherish treasure	
oblique devious	parallel
darn heal fix mend mending fixing fixture repair patch doctor restore bushel	break
comprise live exist bee constitute equal represent be cost follow embody	differ
trash scrap pan junk	
shrink psychiatrist	
brittle toffee	
inept cumbersome fumbling incompetent bungling awkward clumsy	
hate hatred hat detest	love
old previous former sometime older	new young
irrigate pee waters urine piss water	
accuse incriminate imply impeach incriminating	
fester pus festering	
hold maintain represent guard oppose defend fight support champion	prosecute attack
valley vale	
commemorative commemorating	
aggression aggressiveness hostility	
acknowledgment credit mention quotation quote reference citation commendation cite	
